es_id,authors,title,year,source,type,discipline,study_nr,ai_label,consumer_response,autonomy,performance,anthropomorphism,uniqueness_recognition,application_domain,task_objectivity,task_consequentiality,human_benchmark,ai_explanation,field_setting,stimulus_presentation,incentive_compatibility,behavioral_dv,within_subject_design,online_sample,average_age,percentage_females,geographical_background,familiarity,n1,n2,n,p_value,cohens_d
98,hou & jung,who is the expert? reconciling algorithm aversion and algorithm appreciation in ai-supported decision making,2021,proceedings of the acm on human-computer interaction,conference proceedings,information systems,2,ai algorithms,affective,limited,inferior,absent,absent,other,NA,low,expert,absent,no,perceptually rich,no,no,yes,yes,39.58,36,america,no,NA,NA,36,0.0071,-0.376
99,hou & jung,who is the expert? reconciling algorithm aversion and algorithm appreciation in ai-supported decision making,2021,proceedings of the acm on human-computer interaction,conference proceedings,information systems,3,NA,behavioral,limited,NA,absent,absent,other,objective,low,NA,absent,no,perceptually rich,no,yes,yes,yes,35.76,33,america,no,NA,NA,129,0.37,0.114
100,hou & jung,who is the expert? reconciling algorithm aversion and algorithm appreciation in ai-supported decision making,2021,proceedings of the acm on human-computer interaction,conference proceedings,information systems,3,NA,cognitive,limited,NA,absent,absent,other,objective,low,NA,absent,no,perceptually rich,no,no,yes,yes,35.76,33,america,no,NA,NA,129,0.009,0.349
101,bonezzi & ostinelli,can algorithms legitimize discrimination?,2021,journal of experimental psychology: applied,journal publication,psychology,1A,ai systems,cognitive,extensive,NA,absent,absent,operations & management,objective,high,expert,absent,no,text only,no,no,no,yes,39,59,NA,no,75,75,150,< 0.01,0.47
102,bonezzi & ostinelli,can algorithms legitimize discrimination?,2021,journal of experimental psychology: applied,journal publication,psychology,1B,ai systems,cognitive,extensive,NA,absent,present,operations & management,objective,high,expert,absent,no,text only,no,no,no,yes,38,51,NA,no,75,76,151,0.02,0.37
103,bonezzi & ostinelli,can algorithms legitimize discrimination?,2021,journal of experimental psychology: applied,journal publication,psychology,1C,ai systems,cognitive,extensive,NA,absent,absent,legal & public safety,objective,high,expert,absent,no,text only,no,no,no,yes,39,59,NA,no,75,74,149,< 0.01,0.47
104,bonezzi & ostinelli,can algorithms legitimize discrimination?,2021,journal of experimental psychology: applied,journal publication,psychology,2,ai algorithms,cognitive,extensive,NA,absent,absent,legal & public safety,objective,high,expert,absent,no,text only,no,no,no,yes,40,58,NA,no,200,199,399,< 0.001,0.49
105,bonezzi & ostinelli,can algorithms legitimize discrimination?,2021,journal of experimental psychology: applied,journal publication,psychology,2,ai algorithms,cognitive,extensive,NA,absent,absent,legal & public safety,objective,high,expert,absent,no,text only,no,no,no,yes,40,58,NA,no,200,199,399,0.01,-0.413
106,bonezzi & ostinelli,can algorithms legitimize discrimination?,2021,journal of experimental psychology: applied,journal publication,psychology,3,ai algorithms,cognitive,NA,NA,absent,NA,legal & public safety,objective,high,expert,absent,no,text only,no,no,no,yes,40,54,NA,no,200,200,400,0.04,0.201
107,bonezzi & ostinelli,can algorithms legitimize discrimination?,2021,journal of experimental psychology: applied,journal publication,psychology,4,ai systems,cognitive,extensive,NA,absent,absent,operations & management,objective,high,expert,absent,no,text only,no,no,no,yes,40,56,NA,no,75,75,150,0.01,0.42
108,bonezzi & ostinelli,can algorithms legitimize discrimination?,2021,journal of experimental psychology: applied,journal publication,psychology,5A,ai algorithms,cognitive,extensive,NA,absent,absent,operations & management,objective,high,expert,absent,no,text only,no,no,no,yes,38,100,NA,no,90,90,180,0.002,0.48
109,bonezzi & ostinelli,can algorithms legitimize discrimination?,2021,journal of experimental psychology: applied,journal publication,psychology,6,ai algorithms,cognitive,extensive,NA,absent,present,operations & management,objective,low,expert,absent,no,text only,no,no,no,yes,40,55,NA,no,75,75,150,0.02,0.4
110,sharan & romano,the effects of personality and locus of control on trust in humans versus artificial intelligence,2020,heliyon,journal publication,general interest,1,ai algorithms,affective,limited,equivalent,absent,absent,entertainment & lifestyle,objective,low,non-expert,absent,no,text only,no,no,no,no,22.6,78,NA,no,57,56,113,0.019,0.393
111,sharan & romano,the effects of personality and locus of control on trust in humans versus artificial intelligence,2020,heliyon,journal publication,general interest,1,ai algorithms,behavioral,limited,equivalent,absent,absent,entertainment & lifestyle,objective,low,non-expert,absent,no,text only,no,yes,no,no,22.6,78,NA,no,57,56,113,0.043,0.331
112,"berger, adam, ruhr, & benlian",watch me improve-algorithm aversion and demonstrating the ability to learn,2021,business & information systems engineering,journal publication,information systems,1,ai systems,behavioral,limited,NA,absent,absent,operations & management,objective,low,expert,absent,no,text only,yes,yes,no,yes,41.09,49.67,america,no,68,83,151,> 0.1,0.241
113,ireland,"who errs? algorithm aversion, the source of judicial error, and public support for self-help behaviors",2020,journal of crime and justice,journal publication,law,1,ai algorithms,cognitive,extensive,NA,absent,absent,legal & public safety,objective,high,expert,absent,no,text only,no,no,no,yes,NA,52,america,no,327,328,655,< 0.01,-0.2241
114,ireland,"who errs? algorithm aversion, the source of judicial error, and public support for self-help behaviors",2020,journal of crime and justice,journal publication,law,1,ai algorithms,cognitive,extensive,NA,absent,absent,legal & public safety,objective,high,expert,absent,no,text only,no,no,no,yes,NA,52,america,no,327,328,655,< 0.01,-0.2265
115,ireland,"who errs? algorithm aversion, the source of judicial error, and public support for self-help behaviors",2020,journal of crime and justice,journal publication,law,1,ai algorithms,cognitive,extensive,NA,absent,absent,legal & public safety,objective,high,expert,absent,no,text only,no,no,no,yes,NA,52,america,no,327,328,655,< 0.05,0.1631
116,ireland,"who errs? algorithm aversion, the source of judicial error, and public support for self-help behaviors",2020,journal of crime and justice,journal publication,law,1,ai algorithms,cognitive,extensive,NA,absent,absent,legal & public safety,objective,high,expert,absent,no,text only,no,no,no,yes,NA,52,america,no,327,328,655,< 0.1,-0.1418
117,keding & meissner,managerial overreliance on ai-augmented decision-making processes: how the use of ai-based advisory systems shapes choice behavior in r&d investment decisions,2021,technological forecasting and social change,journal publication,management,1,ai systems,behavioral,limited,NA,absent,absent,investing & finance,objective,low,expert,absent,no,text only,no,no,no,no,39.8,30.7,america,no,75,75,150,0.02,0.373
118,keding & meissner,managerial overreliance on ai-augmented decision-making processes: how the use of ai-based advisory systems shapes choice behavior in r&d investment decisions,2021,technological forecasting and social change,journal publication,management,1,ai systems,cognitive,limited,NA,absent,absent,investing & finance,objective,low,expert,absent,no,text only,no,no,no,no,39.8,30.7,america,no,75,75,150,0.022,0.378
119,keding & meissner,managerial overreliance on ai-augmented decision-making processes: how the use of ai-based advisory systems shapes choice behavior in r&d investment decisions,2021,technological forecasting and social change,journal publication,management,1,ai systems,NA,limited,NA,absent,absent,investing & finance,objective,low,expert,absent,no,text only,no,no,no,no,39.8,30.7,america,no,75,75,150,0.002,0.516
120,"liu, du, & xu",machines versus humans: people's biased responses to traffic accidents involving self-driving vehicles,2019,accident analysis & prevention,journal publication,transportation,1A,ai robots,cognitive,extensive,equivalent,absent,absent,transportation,objective,high,expert,absent,no,text only,no,no,no,no,NA,63,asia,no,92,67,159,< 0.001,-0.561
121,"liu, du, & xu",machines versus humans: people's biased responses to traffic accidents involving self-driving vehicles,2019,accident analysis & prevention,journal publication,transportation,1B,ai robots,cognitive,extensive,equivalent,absent,absent,transportation,objective,high,expert,absent,no,text only,no,no,no,no,NA,35,asia,no,102,65,167,0.003,-0.48
122,"liu, du, & xu",machines versus humans: people's biased responses to traffic accidents involving self-driving vehicles,2019,accident analysis & prevention,journal publication,transportation,1C,ai robots,cognitive,extensive,equivalent,absent,absent,transportation,objective,high,expert,absent,no,text only,no,no,no,no,20.4,58,asia,no,110,111,221,0.007,-0.366
123,"liu, du, & xu",machines versus humans: people's biased responses to traffic accidents involving self-driving vehicles,2019,accident analysis & prevention,journal publication,transportation,1D,ai robots,cognitive,extensive,equivalent,absent,absent,transportation,objective,high,expert,absent,no,text only,no,no,no,no,29.6,51,asia,no,118,122,240,< 0.001,-0.443
124,"liu, du, & xu",machines versus humans: people's biased responses to traffic accidents involving self-driving vehicles,2019,accident analysis & prevention,journal publication,transportation,2,ai robots,NA,extensive,equivalent,absent,absent,transportation,objective,high,expert,absent,no,text only,no,no,no,no,22.3,57,asia,no,240,240,480,< 0.001,-1.4612
125,"liu, du, & xu",machines versus humans: people's biased responses to traffic accidents involving self-driving vehicles,2019,accident analysis & prevention,journal publication,transportation,2,ai robots,NA,extensive,equivalent,absent,absent,transportation,objective,high,expert,absent,no,text only,no,no,no,no,22.3,57,asia,no,240,240,480,< 0.001,-0.4731
126,niszczota & kaszas,robo-investment aversion,2020,plos one,journal publication,general interest,1,ai algorithms,affective,extensive,NA,absent,absent,investing & finance,objective,low,expert,absent,no,text only,no,no,no,yes,39.2,56,NA,no,233,233,466,0.005,-0.25
127,niszczota & kaszas,robo-investment aversion,2020,plos one,journal publication,general interest,2,ai algorithms,affective,extensive,NA,absent,absent,investing & finance,objective,low,expert,absent,no,text only,no,no,no,yes,38.7,46,NA,no,615,616,1231,< 0.001,-0.58
128,niszczota & kaszas,robo-investment aversion,2020,plos one,journal publication,general interest,3,ai algorithms,affective,extensive,NA,absent,absent,investing & finance,objective,low,expert,absent,no,text only,no,no,no,yes,39.3,57,NA,no,341,342,683,< 0.001,-0.81
129,"pezzo, nash, vieux, & foster-grammer","effect of having, but not consulting, a computerized diagnostic aid",2021,medical decision making,journal publication,medicine,1,ai systems,cognitive,extensive,NA,absent,absent,NA,objective,high,expert,absent,no,text only,no,no,no,no,28.9,72,america,no,103,104,207,0.104,-0.2295
130,"pezzo, nash, vieux, & foster-grammer","effect of having, but not consulting, a computerized diagnostic aid",2021,medical decision making,journal publication,medicine,1,ai systems,cognitive,extensive,NA,absent,absent,NA,objective,high,expert,absent,no,text only,no,no,no,no,28.9,72,america,no,103,104,207,0.25,0.544
131,"pezzo, nash, vieux, & foster-grammer","effect of having, but not consulting, a computerized diagnostic aid",2021,medical decision making,journal publication,medicine,2,ai systems,cognitive,extensive,superior,absent,absent,healthcare,objective,high,expert,absent,no,text only,no,no,no,no,26.8,75,america,no,38,40,78,0.586,-0.07
132,"pezzo, nash, vieux, & foster-grammer","effect of having, but not consulting, a computerized diagnostic aid",2021,medical decision making,journal publication,medicine,2,ai systems,cognitive,extensive,superior,absent,absent,healthcare,objective,high,expert,absent,no,text only,no,no,no,no,26.8,75,america,no,38,39,77,0.045,-0.27
133,"pezzo, nash, vieux, & foster-grammer","effect of having, but not consulting, a computerized diagnostic aid",2021,medical decision making,journal publication,medicine,2,ai systems,cognitive,extensive,superior,absent,absent,healthcare,objective,high,expert,absent,no,text only,no,no,no,no,26.8,75,america,no,38,39,77,0.049,0.26
134,"pezzo, nash, vieux, & foster-grammer","effect of having, but not consulting, a computerized diagnostic aid",2021,medical decision making,journal publication,medicine,2,ai systems,cognitive,extensive,superior,absent,absent,healthcare,objective,high,expert,absent,no,text only,no,no,no,no,26.8,75,america,no,38,38,76,0.038,0.28
135,"renier, mast, & bekbergenova","to err is human, not algorithmic-robust reactions to erring algorithms",2021,computers in human behavior,journal publication,information systems,1,ai algorithms,cognitive,extensive,NA,absent,absent,operations & management,objective,high,expert,absent,no,text only,no,no,no,yes,36.34,50,NA,yes,354,355,709,0,-0.352
136,"renier, mast, & bekbergenova","to err is human, not algorithmic-robust reactions to erring algorithms",2021,computers in human behavior,journal publication,information systems,1,ai algorithms,affective,extensive,NA,absent,absent,operations & management,objective,high,expert,absent,no,text only,no,no,no,yes,36.34,50,NA,yes,354,355,709,0.28,-0.206
137,"renier, mast, & bekbergenova","to err is human, not algorithmic-robust reactions to erring algorithms",2021,computers in human behavior,journal publication,information systems,1,ai algorithms,cognitive,extensive,NA,absent,absent,operations & management,objective,high,expert,absent,no,text only,no,no,no,yes,36.34,50,NA,yes,354,355,709,0,0.63
138,"renier, mast, & bekbergenova","to err is human, not algorithmic-robust reactions to erring algorithms",2021,computers in human behavior,journal publication,information systems,1,ai algorithms,cognitive,extensive,NA,absent,absent,operations & management,objective,high,expert,absent,no,text only,no,no,no,yes,36.34,50,NA,yes,354,355,709,0,-0.347
139,"renier, mast, & bekbergenova","to err is human, not algorithmic-robust reactions to erring algorithms",2021,computers in human behavior,journal publication,information systems,1,ai algorithms,cognitive,extensive,NA,absent,absent,operations & management,objective,high,expert,absent,no,text only,no,no,no,yes,36.34,50,NA,yes,354,355,709,0,0.906
140,"renier, mast, & bekbergenova","to err is human, not algorithmic-robust reactions to erring algorithms",2021,computers in human behavior,journal publication,information systems,1,ai algorithms,cognitive,extensive,NA,absent,absent,operations & management,objective,high,expert,absent,no,text only,no,no,no,yes,36.34,50,NA,yes,354,355,709,0,-0.673
141,"renier, mast, & bekbergenova","to err is human, not algorithmic-robust reactions to erring algorithms",2021,computers in human behavior,journal publication,information systems,1,ai algorithms,behavioral,extensive,NA,absent,absent,operations & management,objective,high,expert,absent,no,text only,no,no,no,yes,36.34,50,NA,yes,354,355,709,0,-0.937
142,"renier, mast, & bekbergenova","to err is human, not algorithmic-robust reactions to erring algorithms",2021,computers in human behavior,journal publication,information systems,1,ai algorithms,behavioral,extensive,NA,absent,absent,operations & management,objective,high,expert,absent,no,text only,no,no,no,yes,36.34,50,NA,yes,354,355,709,0.856,-0.029
143,"araujo, helberger, kruikemeier, & de vreese",in ai we trust? perceptions about automated decision-making by artificial intelligence,2020,ai & society,journal publication,information systems,1,ai systems,cognitive,extensive,NA,absent,absent,legal & public safety,NA,low,expert,present,no,text only,no,no,no,no,50.9,49,europe,yes,479,479,958,< 0.10,-0.1202
144,"araujo, helberger, kruikemeier, & de vreese",in ai we trust? perceptions about automated decision-making by artificial intelligence,2020,ai & society,journal publication,information systems,1,ai systems,cognitive,extensive,NA,absent,absent,healthcare,objective,high,expert,present,no,text only,no,no,no,no,50.9,49,europe,yes,479,479,958,n.s.,0.06
145,"araujo, helberger, kruikemeier, & de vreese",in ai we trust? perceptions about automated decision-making by artificial intelligence,2020,ai & society,journal publication,information systems,1,ai systems,cognitive,extensive,NA,absent,absent,entertainment & lifestyle,objective,low,expert,present,no,text only,no,no,no,no,50.9,49,europe,yes,479,479,958,n.s.,0.06
146,"araujo, helberger, kruikemeier, & de vreese",in ai we trust? perceptions about automated decision-making by artificial intelligence,2020,ai & society,journal publication,information systems,1,ai systems,affective,extensive,NA,absent,absent,legal & public safety,NA,low,expert,present,no,text only,no,no,no,no,50.9,49,europe,yes,479,479,958,< 0.05,-0.04
147,"araujo, helberger, kruikemeier, & de vreese",in ai we trust? perceptions about automated decision-making by artificial intelligence,2020,ai & society,journal publication,information systems,1,ai systems,affective,extensive,NA,absent,absent,healthcare,objective,high,expert,present,no,text only,no,no,no,no,50.9,49,europe,yes,479,479,958,n.s.,0.04
148,"araujo, helberger, kruikemeier, & de vreese",in ai we trust? perceptions about automated decision-making by artificial intelligence,2020,ai & society,journal publication,information systems,1,ai systems,affective,extensive,NA,absent,absent,entertainment & lifestyle,objective,low,expert,present,no,text only,no,no,no,no,50.9,49,europe,yes,479,479,958,n.s.,0.1202
149,"araujo, helberger, kruikemeier, & de vreese",in ai we trust? perceptions about automated decision-making by artificial intelligence,2020,ai & society,journal publication,information systems,1,ai systems,affective,extensive,NA,absent,absent,legal & public safety,NA,low,expert,present,no,text only,no,no,no,no,50.9,49,europe,yes,479,479,958,< 0.1,-0.8216
150,"araujo, helberger, kruikemeier, & de vreese",in ai we trust? perceptions about automated decision-making by artificial intelligence,2020,ai & society,journal publication,information systems,1,ai systems,affective,extensive,NA,absent,absent,healthcare,objective,high,expert,present,no,text only,no,no,no,no,50.9,49,europe,yes,479,479,958,n.s.,0.02
151,"araujo, helberger, kruikemeier, & de vreese",in ai we trust? perceptions about automated decision-making by artificial intelligence,2020,ai & society,journal publication,information systems,1,ai systems,affective,extensive,NA,absent,absent,entertainment & lifestyle,objective,low,expert,present,no,text only,no,no,no,no,50.9,49,europe,yes,479,479,958,n.s.,-0.0801
152,"commerford, dennis, joe, & ulla",man versus machine: complex estimates and auditor reliance on artificial intelligence,2022,journal of accounting research,journal publication,management,1,ai systems,behavioral,limited,equivalent,absent,absent,investing & finance,objective,low,expert,absent,yes,text only,yes,yes,no,no,NA,NA,NA,yes,90,80,170,< 0.01,-0.451
153,"commerford, dennis, joe, & ulla",man versus machine: complex estimates and auditor reliance on artificial intelligence,2022,journal of accounting research,journal publication,management,1,ai systems,cognitive,limited,equivalent,absent,absent,investing & finance,objective,low,expert,absent,yes,text only,yes,no,no,no,NA,NA,NA,yes,89,80,169,NA,-1.025
154,"commerford, dennis, joe, & ulla",man versus machine: complex estimates and auditor reliance on artificial intelligence,2022,journal of accounting research,journal publication,management,1,ai systems,behavioral,limited,equivalent,absent,absent,investing & finance,objective,low,expert,absent,yes,text only,yes,no,no,no,NA,NA,NA,yes,90,80,170,NA,-0.414
155,"dzindolet, pierce, beck, & dawe ",the perceived utility of human and automated aids in a visual detection task,2002,human factors,journal publication,information systems,2,ai systems,cognitive,limited,NA,absent,absent,legal & public safety,objective,high,non-expert,absent,no,text only,yes,no,no,no,NA,NA,america,no,64,64,128,< 0.04,-0.382
156,"dzindolet, pierce, beck, & dawe ",the perceived utility of human and automated aids in a visual detection task,2002,human factors,journal publication,information systems,3,ai systems,affective,limited,NA,absent,absent,legal & public safety,objective,high,non-expert,absent,no,text only,yes,no,no,no,NA,NA,america,no,35,36,71,< 0.01,-0.643
157,"efendic, van de calseyde, & evans",slow response times undermine trust in algorithmic (but not human) predictions,2020,organizational behavior and human decision processes,journal publication,management,1,ai algorithms,cognitive,extensive,NA,absent,present,operations & management,objective,high,expert,absent,no,text only,no,no,no,yes,36.45,46,NA,no,152,152,304,0.05,0.229
158,"efendic, van de calseyde, & evans",slow response times undermine trust in algorithmic (but not human) predictions,2020,organizational behavior and human decision processes,journal publication,management,1,ai algorithms,cognitive,extensive,NA,absent,present,operations & management,objective,high,expert,absent,no,text only,no,no,no,yes,36.45,46,NA,no,152,152,304,0.05,0.232
159,"efendic, van de calseyde, & evans",slow response times undermine trust in algorithmic (but not human) predictions,2020,organizational behavior and human decision processes,journal publication,management,2,ai algorithms,cognitive,extensive,NA,absent,present,operations & management,objective,low,expert,absent,no,text only,no,no,no,yes,38.79,47,NA,no,151,151,302,< 0.001,0.563
160,"efendic, van de calseyde, & evans",slow response times undermine trust in algorithmic (but not human) predictions,2020,organizational behavior and human decision processes,journal publication,management,2,ai algorithms,cognitive,extensive,NA,absent,present,operations & management,objective,low,expert,absent,no,text only,no,no,no,yes,38.79,47,NA,no,151,151,302,< 0.001,0.244
161,"efendic, van de calseyde, & evans",slow response times undermine trust in algorithmic (but not human) predictions,2020,organizational behavior and human decision processes,journal publication,management,3,ai algorithms,cognitive,extensive,NA,absent,present,operations & management,objective,low,expert,absent,no,text only,no,no,no,yes,38.39,58,NA,no,243,243,486,< 0.001,0.475
162,"jakesch, french, ma, hancock, & naaman ",ai-mediated communication: how the perception that profile text was written by ai affects trustworthiness,2019,proceedings of the 2019 chi conference on human factors in computing systems,conference proceedings,information systems,1,ai systems,NA,extensive,NA,absent,absent,entertainment & lifestyle,subjective,low,expert,absent,no,perceptually rich,no,no,no,yes,38,48,america,no,195,194,389,n.s.,0
163,lee,"understanding perception of algorithmic decisions: fairness, trust, and emotion in response to algorithmic management",2018,big data & society,journal publication,information systems,1,ai algorithms,affective,extensive,NA,absent,absent,operations & management,objective,low,expert,absent,no,text only,no,no,no,yes,35.9,45,america,no,28,29,57,n.s.,0.203
164,lee,"understanding perception of algorithmic decisions: fairness, trust, and emotion in response to algorithmic management",2018,big data & society,journal publication,information systems,1,ai algorithms,affective,extensive,NA,absent,absent,operations & management,objective,low,expert,absent,no,text only,no,no,no,yes,35.9,45,america,no,28,29,57,n.s.,-0.227
165,lee,"understanding perception of algorithmic decisions: fairness, trust, and emotion in response to algorithmic management",2018,big data & society,journal publication,information systems,1,ai algorithms,affective,extensive,NA,absent,absent,operations & management,objective,high,expert,absent,no,text only,no,no,no,yes,35.9,45,america,no,28,29,57,< 0.0001,-1.389
166,lee,"understanding perception of algorithmic decisions: fairness, trust, and emotion in response to algorithmic management",2018,big data & society,journal publication,information systems,1,ai algorithms,affective,extensive,NA,absent,absent,operations & management,objective,low,expert,absent,no,text only,no,no,no,yes,35.9,45,america,no,28,29,57,< 0.0001,-2.008
167,lee,"understanding perception of algorithmic decisions: fairness, trust, and emotion in response to algorithmic management",2018,big data & society,journal publication,information systems,1,ai algorithms,affective,extensive,NA,absent,absent,operations & management,objective,low,expert,absent,no,text only,no,no,no,yes,35.9,45,america,no,28,29,57,n.s.,-0.277
168,lee,"understanding perception of algorithmic decisions: fairness, trust, and emotion in response to algorithmic management",2018,big data & society,journal publication,information systems,1,ai algorithms,affective,extensive,NA,absent,absent,operations & management,objective,low,expert,absent,no,text only,no,no,no,yes,35.9,45,america,no,28,29,57,n.s.,-0.198
169,lee,"understanding perception of algorithmic decisions: fairness, trust, and emotion in response to algorithmic management",2018,big data & society,journal publication,information systems,1,ai algorithms,affective,extensive,NA,absent,absent,operations & management,objective,high,expert,absent,no,text only,no,no,no,yes,35.9,45,america,no,28,29,57,< 0.0001,-1.258
170,lee,"understanding perception of algorithmic decisions: fairness, trust, and emotion in response to algorithmic management",2018,big data & society,journal publication,information systems,1,ai algorithms,affective,extensive,NA,absent,absent,operations & management,objective,low,expert,absent,no,text only,no,no,no,yes,35.9,45,america,no,28,29,57,< 0.0001,-2.427
171,lee,"understanding perception of algorithmic decisions: fairness, trust, and emotion in response to algorithmic management",2018,big data & society,journal publication,information systems,1,ai algorithms,affective,extensive,NA,absent,absent,operations & management,objective,low,expert,absent,no,text only,no,no,no,yes,35.9,45,america,no,28,29,57,n.s.,-0.08
172,lee,"understanding perception of algorithmic decisions: fairness, trust, and emotion in response to algorithmic management",2018,big data & society,journal publication,information systems,1,ai algorithms,affective,extensive,NA,absent,absent,operations & management,objective,low,expert,absent,no,text only,no,no,no,yes,35.9,45,america,no,28,29,57,n.s.,-0.212
173,lee,"understanding perception of algorithmic decisions: fairness, trust, and emotion in response to algorithmic management",2018,big data & society,journal publication,information systems,1,ai algorithms,affective,extensive,NA,absent,absent,operations & management,objective,high,expert,absent,no,text only,no,no,no,yes,35.9,45,america,no,28,29,57,< 0.0001,-0.577
174,lee,"understanding perception of algorithmic decisions: fairness, trust, and emotion in response to algorithmic management",2018,big data & society,journal publication,information systems,1,ai algorithms,affective,extensive,NA,absent,absent,operations & management,objective,low,expert,absent,no,text only,no,no,no,yes,35.9,45,america,no,28,29,57,< 0.0001,-1.24
175,"luo, tong, fang, & qu",frontiers: machines vs. humans: the impact of artificial intelligence chatbot disclosure on customer purchases,2019,marketing science,journal publication,marketing,1,ai assistants,behavioral,extensive,NA,absent,absent,investing & finance,objective,low,expert,absent,yes,perceptually rich,yes,yes,no,no,30.86,22.6,asia,no,1042,1036,2078,< 0.01,-0.345
176,"luo, tong, fang, & qu",frontiers: machines vs. humans: the impact of artificial intelligence chatbot disclosure on customer purchases,2019,marketing science,journal publication,marketing,1,ai assistants,behavioral,extensive,NA,absent,absent,investing & finance,objective,low,expert,absent,yes,perceptually rich,yes,yes,no,no,30.86,22.6,asia,no,1042,1036,2078,< 0.01,-2.3387
177,madhavan & wiegmann,"effects of information source, pedigree, and reliability on operator interaction with decision support systems",2007,human factors,journal publication,information systems,1,ai systems,affective,limited,NA,absent,absent,legal & public safety,objective,high,expert,absent,no,text only,no,no,yes,no,22.5,55,NA,no,NA,NA,40,0.0009,0.386
178,madhavan & wiegmann,"effects of information source, pedigree, and reliability on operator interaction with decision support systems",2007,human factors,journal publication,information systems,1,ai systems,cognitive,limited,NA,absent,absent,legal & public safety,objective,high,expert,absent,no,text only,no,no,yes,no,22.5,55,NA,no,NA,NA,40,0.007,-0.898
179,madhavan & wiegmann,"effects of information source, pedigree, and reliability on operator interaction with decision support systems",2007,human factors,journal publication,information systems,2,ai systems,affective,limited,NA,absent,absent,legal & public safety,objective,high,expert,absent,no,text only,no,no,no,no,20.5,60,NA,no,90,90,180,0.0001 (0.038),0.25
180,"cadario, longoni, & morewedge","understanding, explaining, and utilizing medical artificial intelligence",2021,nature human behavior,journal publication,general interest,3A,ai algorithms,behavioral,extensive,equivalent,absent,absent,healthcare,objective,high,expert,absent,no,perceptually rich,no,no,no,yes,36.9,50,america,no,201,200,401,< 0.001,-0.44
181,"cadario, longoni, & morewedge","understanding, explaining, and utilizing medical artificial intelligence",2021,nature human behavior,journal publication,general interest,3A,ai algorithms,behavioral,extensive,equivalent,absent,absent,healthcare,objective,high,expert,absent,no,perceptually rich,no,no,no,yes,36.9,50,america,no,201,199,400,0.08,-0.25
182,"cadario, longoni, & morewedge","understanding, explaining, and utilizing medical artificial intelligence",2021,nature human behavior,journal publication,general interest,3B,ai algorithms,behavioral,extensive,equivalent,absent,absent,healthcare,objective,high,expert,absent,no,perceptually rich,no,no,no,no,45.3,51.1,america,no,199,199,398,0.001,-0.33
183,"cadario, longoni, & morewedge","understanding, explaining, and utilizing medical artificial intelligence",2021,nature human behavior,journal publication,general interest,3B,ai algorithms,behavioral,extensive,equivalent,absent,absent,healthcare,objective,high,expert,absent,no,perceptually rich,no,no,no,no,45.3,51.1,america,no,199,201,400,0.96,0
184,"chen, hudgins, & wright",the effect of advice valence on the perceived credibility of data analytics,2021,journal of management accounting research,journal publication,management,1,ai algorithms,affective,limited,equivalent,absent,absent,operations & management,objective,low,expert,absent,no,text only,no,no,no,yes,39,56,NA,no,113,110,223,0.02,-0.311
185,"chen, hudgins, & wright",the effect of advice valence on the perceived credibility of data analytics,2021,journal of management accounting research,journal publication,management,1,ai algorithms,cognitive,limited,equivalent,absent,absent,operations & management,objective,low,expert,absent,no,text only,no,no,no,yes,39,56,NA,no,113,110,223,0.01,-0.35
186,"chen, hudgins, & wright",the effect of advice valence on the perceived credibility of data analytics,2021,journal of management accounting research,journal publication,management,1,ai algorithms,behavioral,limited,equivalent,absent,absent,operations & management,objective,low,expert,absent,no,text only,no,yes,no,yes,39,56,NA,no,113,110,223,0.74,-0.271
187,dietvorst & bartels,consumers object to algorithms making morally relevant tradeoffs because of algorithms consequentialist decision strategies,2022,journal of consumer psychology,journal publication,marketing,4,ai algorithms,behavioral,extensive,NA,absent,absent,healthcare,objective,high,expert,absent,no,text only,yes,no,no,yes,40,48,NA,no,777,723,1500,< 0.001,-0.5385
188,dietvorst & bartels,consumers object to algorithms making morally relevant tradeoffs because of algorithms consequentialist decision strategies,2022,journal of consumer psychology,journal publication,marketing,1 (S),ai algorithms,behavioral,extensive,NA,absent,absent,healthcare,objective,high,expert,absent,no,text only,yes,no,no,yes,39,51,NA,no,376,351,727,< 0.001,-0.7717
189,longoni & cian,artificial intelligence in utilitarian vs. hedonic contexts: the word-of-machine effect,2022,journal of marketing,journal publication,marketing,2,ai assistants,affective,extensive,NA,absent,absent,entertainment & lifestyle,subjective,low,expert,absent,no,text only,no,no,no,no,27.5,60.4,america,no,36,36,72,< 0.001,-1.314
190,longoni & cian,artificial intelligence in utilitarian vs. hedonic contexts: the word-of-machine effect,2022,journal of marketing,journal publication,marketing,2,ai assistants,cognitive,extensive,NA,absent,absent,entertainment & lifestyle,subjective,low,expert,absent,no,text only,no,no,no,no,27.5,60.4,america,no,36,36,72,0.034,0.359
191,"reich, kaju, & maglio",how to overcome algorithm aversion: learning from mistakes,2022,journal of consumer psychology,journal publication,marketing,2,ai algorithms,affective,extensive,equivalent,absent,absent,other,objective,low,expert,absent,no,text only,no,no,no,yes,41.36,51.3,NA,no,100,100,200,0.015,-0.35
192,"reich, kaju, & maglio",how to overcome algorithm aversion: learning from mistakes,2022,journal of consumer psychology,journal publication,marketing,2,ai algorithms,cognitive,extensive,equivalent,absent,absent,other,objective,low,expert,absent,no,text only,no,no,no,yes,41.36,51.3,NA,no,100,100,200,< 0.001,-0.98
